method,iteration,objective,relative_residual_l2,psnr_db,ssim
fista,0,126.97215285771432,0.41246341273657217,9.321245137201968,0.1759186082319567
fista,5,24.904232573508214,0.18267022802990268,10.792096340124033,0.20763548034427437
fista,10,9.798147059418678,0.1145785088415161,12.429394389657961,0.21757758290067766
fista,15,3.9739801660103313,0.07296994800650021,13.99313024906534,0.262733257870383
fista,20,1.973472264243673,0.05142173225488718,15.340176402452428,0.315748239111026
fista,25,1.1023925559040721,0.03843256099874999,16.47678203869151,0.3653091130844446
fista,30,0.6742010983738252,0.030055635629342697,17.41139869176471,0.4023084847276155
fista,35,0.45607224955392467,0.024719974193788106,18.16324435431837,0.4264453591856076
fista,40,0.3296860850131132,0.021017521379705067,18.770399240381643,0.4411341275387236
fista,45,0.24984030392046522,0.018296264876056713,19.27043687778695,0.45098256087354516
fista,50,0.19829850086879716,0.016300123866494345,19.69052046229361,0.45864075483484246
fista,55,0.163685791904212,0.014809373319819812,20.044809140147134,0.4648026300732059
fista,60,0.13907434952630854,0.013650693259293788,20.342508941470022,0.46991333634155485
fista,65,0.1204814224546217,0.012705484548264439,20.594201777438933,0.47453169693792485
fista,70,0.10600164733532935,0.011917564098598824,20.810873897847337,0.47895125548275413
fista,75,0.094603889627571,0.011258633595710698,21.000313785284987,0.4830007015858221
fista,80,0.08556994406222523,0.010707591967304452,21.167045221242418,0.4865721291437751
