method,iteration,objective,relative_residual_l2,psnr_db,ssim
projected_gradient_descent,0,126.97215285771432,0.41246341273657217,9.321245137201968,0.1759186082319567
projected_gradient_descent,5,29.054220970435257,0.19730396223650085,10.514766846008705,0.20653022853496233
projected_gradient_descent,10,19.5454664483008,0.16182820196258854,11.24271740464403,0.21054316113903396
projected_gradient_descent,15,14.021709971413468,0.13706661232738715,11.83543401991351,0.21540192735243766
projected_gradient_descent,20,10.533583067947662,0.11880076888082791,12.331888606390738,0.2197400115363931
projected_gradient_descent,25,8.234337837576618,0.10503777892167276,12.757358512110207,0.2264557479202582
projected_gradient_descent,30,6.642128512541806,0.0943376006264132,13.128860056822155,0.2360375995002792
projected_gradient_descent,35,5.496964507803245,0.08582081917268344,13.458057911090034,0.24633551388608432
projected_gradient_descent,40,4.646140573245164,0.07890006518446255,13.753462589051132,0.2560019593183873
projected_gradient_descent,45,3.9943821641144464,0.0731570182507366,14.02145700252202,0.2652211266128398
projected_gradient_descent,50,3.482664153935299,0.06831042496441096,14.266684511055539,0.2738321344741058
projected_gradient_descent,55,3.071603577741852,0.06415252750982624,14.492672915617757,0.28186348574327585
projected_gradient_descent,60,2.7355006109232356,0.06054100097593431,14.702155650458778,0.28939334535242883
projected_gradient_descent,65,2.456615245185163,0.057371969717842884,14.897291439673397,0.29644394174417615
projected_gradient_descent,70,2.222211479365065,0.05456622161765213,15.07984969713668,0.30306714954004005
projected_gradient_descent,75,2.023054544706858,0.05206369478472287,15.251266649349851,0.3093155998192382
projected_gradient_descent,80,1.8521840850888824,0.04981650592019043,15.412753778359438,0.3152240945923163
